house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
6062,1,APARTMENT,APARTMENT,Laeken,1020,Avenue des Pagodes,157,8,0,2.0,175000.0,0,1,3.0,0,0,,0,0,0,,65.0,,
16649,2,HOUSE,VILLA,Malle,2390,Moerdreef,4,,0,4.0,620000.0,0,1,22.0,0,0,GOOD,0,0,0,3595.0,176.0,3595.0,
9216,5,HOUSE,HOUSE,Dudzele,8380,Damse Steenweg,90,,1,3.0,549000.0,0,1,40.0,0,0,GOOD,1,1098,1,1570.0,209.0,1570.0,
7467,1,HOUSE,HOUSE,Westmeerbeek,2235,Goorstraat,21,,0,4.0,32500.0,0,0,0.0,0,0,TO_RENOVATE,0,0,0,1030.0,75.0,1030.0,PublicSale
15760,1,APARTMENT,APARTMENT,Ixelles,1050,Tenbosch,85,,1,,299000.0,0,1,6.0,0,0,GOOD,0,0,0,,69.0,,
11291,2,APARTMENT,APARTMENT,Kruisem,9750,Groenstraat,26,1,0,2.0,295000.0,0,1,4.0,0,0,GOOD,0,0,0,,98.0,,
18346,3,HOUSE,HOUSE,Baaigem,9890,Hundelgemsesteenweg,76,,0,3.0,514663.0,0,0,0.0,0,0,AS_NEW,1,400,0,400.0,186.0,400.0,
2176,3,HOUSE,MANOR_HOUSE,Kluisbergen,9690,Nachtegaaldreef,8,,1,4.0,595000.0,0,1,,1,1,GOOD,0,0,1,2800.0,235.0,2800.0,
2623,3,HOUSE,HOUSE,Roeselare,8800,Westlaan,11,,1,,329000.0,0,1,,0,0,GOOD,0,0,0,315.0,172.0,315.0,
1453,4,HOUSE,HOUSE,Putte,2580,Mechelbaan,683,,1,,545000.0,0,1,,0,0,,0,0,0,1329.0,235.0,1329.0,
8594,3,HOUSE,HOUSE,ASSE,1730,Veldeken,28,,1,4.0,549000.0,0,1,25.0,1,1,GOOD,1,1300,0,1584.0,190.0,1584.0,
12516,2,APARTMENT,APARTMENT,Woluwe-Saint-Lambert,1200,Avenue du Yorkshire,26,,1,2.0,399000.0,0,1,12.0,0,0,GOOD,0,0,0,,95.0,,UnderOption
4339,4,HOUSE,HOUSE,Oordegem,9340,Grote Steenweg,58,,1,4.0,850000.0,0,1,30.0,1,1,GOOD,0,0,0,2193.0,,2193.0,
13689,1,APARTMENT,APARTMENT,Knokke,8300,Zoutelaan,3,4,0,,395000.0,0,0,0.0,0,0,TO_RENOVATE,0,0,0,,59.0,,
12603,2,APARTMENT,DUPLEX,SINT-STEVENS-WOLUWE,1932,Jozef Van Damstraat,73,,1,2.0,375000.0,0,1,17.0,0,0,,0,0,0,,113.0,,UnderOption
7028,2,HOUSE,HOUSE,Tubize,1480,,,,1,2.0,207000.0,0,1,10.0,0,0,GOOD,1,22,0,75.0,74.0,75.0,UnderOption
10250,4,HOUSE,VILLA,Hoogstraten,2320,Burgemeester Brosensstraat,20,,1,4.0,675000.0,0,0,0.0,1,1,GOOD,0,0,0,840.0,292.0,840.0,
14966,6,HOUSE,VILLA,Dilbeek,1700,Viooltjesstraat,4,,1,4.0,795000.0,0,1,37.0,1,1,AS_NEW,1,290,0,454.0,310.0,454.0,
13101,3,APARTMENT,APARTMENT,POEDERLEE,2275,Lichtaartsesteenweg,27,,1,4.0,349000.0,0,1,17.0,0,0,,0,0,0,,125.0,,
13115,3,HOUSE,HOUSE,Wakken,8720,Mirrepadde,42,,1,,357860.0,0,1,,0,0,AS_NEW,0,0,0,274.0,173.0,274.0,
13406,3,HOUSE,HOUSE,Ledegem,8880,De Kempkens,34,,0,4.0,299000.0,0,0,0.0,0,0,GOOD,0,0,0,285.0,120.0,285.0,
17507,1,APARTMENT,APARTMENT,Antwerpen,2000,Sint-Pietersvliet,21,401,0,,229000.0,0,1,8.0,0,0,AS_NEW,0,0,0,,43.0,,
15666,2,APARTMENT,TRIPLEX,VILVOORDE,1800,,,,1,2.0,289000.0,0,0,0.0,0,0,GOOD,0,0,0,,84.0,,
13533,5,HOUSE,HOUSE,Hoeilaart,1560,Willem Matstraat,4a,,1,4.0,485000.0,0,1,,0,0,TO_RENOVATE,0,0,0,1028.0,180.0,1028.0,UnderOption
4156,4,HOUSE,HOUSE,Knokke-Heist,8300,,,,0,,2595000.0,0,1,,0,0,GOOD,0,0,0,751.0,201.0,751.0,
7975,1,APARTMENT,APARTMENT,Watermael-Boitsfort,1170,,,,1,2.0,265000.0,0,1,15.0,0,0,,0,0,0,,73.0,,
14694,6,HOUSE,HOUSE,Evergem,9940,Eeklostraat,67,,1,4.0,530000.0,0,1,,0,0,TO_RENOVATE,0,0,0,1632.0,460.0,1632.0,
4535,3,HOUSE,HOUSE,Kluisbergen,9690,De Pacht,16,,1,,315000.0,0,1,,0,0,,1,745,0,745.0,184.0,745.0,
2240,2,HOUSE,MIXED_USE_BUILDING,Herstal,4040,Rue du Grand Puits,67/69,,1,3.0,219000.0,0,1,,0,0,TO_BE_DONE_UP,1,49,0,195.0,212.0,195.0,
13232,3,APARTMENT,APARTMENT,Brussel,1000,Place Du Nouveau Marché Aux Grains - Nieuwe Graanmarkt,15,1/c,1,4.0,440000.0,0,1,2.0,0,0,GOOD,0,0,0,,102.0,,
8116,5,HOUSE,HOUSE,Wespelaar,3150,Neerstraat,58,,0,3.0,272000.0,0,1,,0,0,,0,0,0,238.0,,238.0,PublicSale
3171,4,APARTMENT,DUPLEX,Molenbeek-Saint-Jean,1080,Rue Jean-Baptiste Decock,17,,1,2.0,300000.0,0,0,0.0,0,0,GOOD,0,0,0,,140.0,,
10535,3,APARTMENT,APARTMENT,Schaerbeek,1030,Boulevard Lambermont,338,,1,3.0,399000.0,0,1,8.0,0,0,GOOD,0,0,0,,120.0,,
17580,2,APARTMENT,APARTMENT,Knokke-Heist Knokke,8300,Leopoldlaan,70A,,1,2.0,595000.0,1,0,0.0,0,0,AS_NEW,0,0,0,,55.0,,
9062,4,HOUSE,MANSION,La Louvière,7100,Rue du Couvent,20,,1,2.0,180000.0,0,0,0.0,0,0,TO_RENOVATE,1,56,0,2300.0,256.0,2300.0,UnderOption
14652,2,APARTMENT,DUPLEX,ARLON,6700,rue de la Semois,41,3,1,2.0,400000.0,0,1,13.0,0,0,,0,0,0,,115.0,,UnderOption
17181,3,HOUSE,HOUSE,Aalst,9310,Eeckhoutstraat,3,,1,3.0,550000.0,0,1,11.0,0,0,,1,250,0,341.0,207.0,341.0,
5886,4,HOUSE,HOUSE,Buggenhout,9255,Vekenstraat,19,,1,3.0,399000.0,0,1,,0,0,GOOD,0,0,0,410.0,236.0,410.0,UnderOption
4520,3,APARTMENT,APARTMENT,Molenbeek-Saint-Jean,1080,,,,1,2.0,245000.0,0,1,10.0,0,0,GOOD,0,0,0,,110.0,,
6059,9,HOUSE,APARTMENT_BLOCK,Deurne,2100,De Francqueslei,189,,1,2.0,875000.0,0,0,0.0,0,0,TO_RENOVATE,0,0,0,88.0,315.0,88.0,
8476,3,HOUSE,HOUSE,HOUFFALIZE,6660,Buret,9,,0,4.0,175000.0,0,1,45.0,0,0,TO_RENOVATE,0,0,0,815.0,163.0,815.0,
7535,2,APARTMENT,APARTMENT,Knokke-Heist,8300,Patriottenstraat,46,41,0,,539000.0,0,0,0.0,0,0,,0,0,0,,66.0,,
17149,2,APARTMENT,APARTMENT,Kortrijk,8500,Gentsesteenweg,67A,33,1,2.0,174000.0,0,1,,0,0,GOOD,0,0,0,,85.0,,
15000,1,APARTMENT,APARTMENT,QUAREGNON,7390,Place de la Charte,4,,1,4.0,135000.0,0,0,0.0,0,0,GOOD,0,0,0,,82.0,,
11847,2,APARTMENT,APARTMENT,Brecht,2960,Brechtsebaan,7,1L,1,4.0,249000.0,0,0,0.0,0,0,GOOD,0,0,0,,98.0,,UnderOption
16805,3,APARTMENT,DUPLEX,Antwerpen,2060,Van Schoonhovenstraat,32,201,0,,495000.0,0,1,11.0,0,0,AS_NEW,0,0,0,,153.0,,
13372,2,HOUSE,HOUSE,Goeferdinge,9500,Victor Frisstraat,17,,0,,424900.0,0,1,,0,0,GOOD,0,0,0,576.0,188.0,576.0,UnderOption
2150,1,APARTMENT,FLAT_STUDIO,Gent,9000,Elfjulistraat,91A,,1,3.0,239500.0,0,0,0.0,0,0,GOOD,0,0,0,,51.0,,
7946,3,HOUSE,HOUSE,Adinkerke,8660,Kruisstraat,4,,0,3.0,140000.0,0,0,0.0,0,0,,0,0,0,532.0,223.0,532.0,PublicSale
2320,4,HOUSE,HOUSE,GENT,9000,Sint-Salvatorstraat,149,,1,2.0,255000.0,0,0,0.0,0,0,TO_BE_DONE_UP,0,0,0,50.0,148.0,50.0,
